optimized,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,
file_name,lower_bound,upper_bound,variables,clauses,consistency_clauses,pb_clauses,zero_literal,one_literals,two_literals,three_literals,four_literals,five_to_ten_literals,more_than_ten_literals,feasible,makespan,total_solving_time,optimized,timeout
data_set/pack_d/Pack_d044.rcp,1771,3058,603094,21815110,9763023,891500,0,18397,10505077,384081,0,0,0,1,3050,26.25388,1,0
data_set/pack_d/Pack_d045.rcp,2712,2712,440393,13551938,5968283,657931,0,16321,6443351,316297,0,0,0,1,2712,2.57992,1,0
data_set/pack_d/Pack_d046.rcp,1564,3277,661085,30254274,13870586,980906,0,19709,14641055,466373,0,0,0,1,3277,485.84041,0,1
data_set/pack_d/Pack_d047.rcp,1482,2746,471706,19593906,8899516,689474,0,16523,9467142,313288,0,0,0,1,2745,65.16319,0,1
data_set/pack_d/Pack_d048.rcp,1195,2466,450920,18235214,8262196,653209,0,14843,8788649,314115,0,0,0,1,2446,33.45775,1,0
data_set/pack_d/Pack_d049.rcp,385,685,312998,2701904,750204,508516,0,4183,1122334,224435,0,0,0,1,675,151.12414,1,0
data_set/pack_d/Pack_d050.rcp,1495,2716,570540,20969222,9391539,858640,0,16345,10068060,400206,0,0,0,1,2716,186.21245,0,1
data_set/pack_d/Pack_d051.rcp,497,867,413187,4020606,1214652,671810,0,5269,1709117,295917,0,0,0,1,838,49.88557,1,0
data_set/pack_d/Pack_d052.rcp,1624,2308,439435,16506050,7420336,655872,0,13895,7927540,311590,0,0,0,1,2253,24.10968,1,0
data_set/pack_d/Pack_d053.rcp,2521,2521,459377,13837640,6052310,675000,0,15175,6588943,314702,0,0,0,1,2521,17.54701,1,0
data_set/pack_d/Pack_d054.rcp,2026,2781,739454,18290876,7736830,1203032,0,27865,8601971,515602,0,0,0,1,2750,43.64807,1,0
data_set/pack_d/Pack_d055.rcp,2030,2628,359043,13928652,6291670,511241,0,15817,6709353,239156,0,0,0,1,2628,23.82089,1,0
