file name,Model constraint,Status,Solve time (second)
j3010_1.data,42,optimal,0.08
j3010_10.data,41,optimal,0.15
j3010_2.data,56,optimal,0.13
j3010_3.data,62,optimal,0.14
j3010_4.data,58,optimal,0.05
j3010_5.data,41,optimal,0.03
j3010_6.data,44,optimal,0.12
j3010_7.data,49,optimal,0.04
j3010_8.data,54,optimal,0.13
j3010_9.data,49,optimal,0.04
j3011_1.data,54,optimal,0.04
j3011_10.data,38,optimal,0.04
j3011_2.data,56,optimal,0.05
j3011_3.data,81,optimal,0.04
j3011_4.data,63,optimal,0.04
j3011_5.data,49,optimal,0.04
j3011_6.data,44,optimal,0.04
j3011_7.data,36,optimal,0.04
j3011_8.data,62,optimal,0.05
j3011_9.data,67,optimal,0.05
j3012_1.data,47,optimal,0.04
j3012_10.data,57,optimal,0.04
j3012_2.data,46,optimal,0.04
j3012_3.data,37,optimal,0.04
j3012_4.data,63,optimal,0.05
j3012_5.data,47,optimal,0.04
j3012_6.data,53,optimal,0.05
j3012_7.data,55,optimal,0.05
j3012_8.data,35,optimal,0.05
j3012_9.data,52,optimal,0.04
j3013_1.data,N/A,unknown,3.67
j3013_10.data,64,optimal,2.44
j3013_2.data,N/A,unknown,3.35
j3013_3.data,76,feasible,4.42
j3013_4.data,72,optimal,4.76
j3013_5.data,N/A,unknown,4.59
j3013_6.data,N/A,unknown,4.26
j3013_7.data,77,feasible,6.06
j3013_8.data,N/A,unknown,3.03
j3013_9.data,71,optimal,1.70
j3014_1.data,50,optimal,0.25
j3014_10.data,61,optimal,0.05
j3014_2.data,53,optimal,1.12
j3014_3.data,58,optimal,0.18
j3014_4.data,50,optimal,1.56
j3014_5.data,52,optimal,0.04
j3014_6.data,35,optimal,0.04
j3014_7.data,50,optimal,0.56
j3014_8.data,54,optimal,0.04
j3014_9.data,46,optimal,0.24
j3015_1.data,46,optimal,0.05
j3015_10.data,65,optimal,0.05
j3015_2.data,47,optimal,0.05
j3015_3.data,48,optimal,0.05
j3015_4.data,48,optimal,0.05
j3015_5.data,58,optimal,0.14
j3015_6.data,67,optimal,0.04
j3015_7.data,47,optimal,0.04
j3015_8.data,50,optimal,0.05
j3015_9.data,54,optimal,0.06
j3016_1.data,51,optimal,0.05
j3016_10.data,51,optimal,0.05
j3016_2.data,48,optimal,0.05
j3016_3.data,36,optimal,0.04
j3016_4.data,47,optimal,0.05
j3016_5.data,51,optimal,0.05
j3016_6.data,51,optimal,0.05
j3016_7.data,34,optimal,0.05
j3016_8.data,44,optimal,0.05
j3016_9.data,44,optimal,0.04
j3017_1.data,64,optimal,0.12
j3017_10.data,66,optimal,0.03
j3017_2.data,68,optimal,0.03
j3017_3.data,60,optimal,0.04
j3017_4.data,49,optimal,0.04
j3017_5.data,47,optimal,0.04
j3017_6.data,63,optimal,0.04
j3017_7.data,57,optimal,0.04
j3017_8.data,61,optimal,0.04
j3017_9.data,48,optimal,0.03
j3018_1.data,53,optimal,0.03
j3018_10.data,49,optimal,0.04
j3018_2.data,55,optimal,0.04
j3018_3.data,56,optimal,0.04
j3018_4.data,70,optimal,0.04
j3018_5.data,52,optimal,0.04
j3018_6.data,62,optimal,0.04
j3018_7.data,48,optimal,0.04
j3018_8.data,52,optimal,0.04
j3018_9.data,47,optimal,0.04
j3019_1.data,40,optimal,0.04
j3019_10.data,47,optimal,0.04
j3019_2.data,58,optimal,0.04
j3019_3.data,83,optimal,0.04
j3019_4.data,39,optimal,0.04
j3019_5.data,48,optimal,0.04
j3019_6.data,49,optimal,0.04
j3019_7.data,57,optimal,0.04
j3019_8.data,55,optimal,0.04
j3019_9.data,38,optimal,0.04
j301_1.data,43,optimal,0.04
j301_10.data,45,optimal,0.04
j301_2.data,47,optimal,0.05
j301_3.data,47,optimal,0.05
j301_4.data,62,optimal,0.04
j301_5.data,39,optimal,0.26
j301_6.data,48,optimal,0.04
j301_7.data,60,optimal,0.03
j301_8.data,53,optimal,0.04
j301_9.data,49,optimal,0.05
j3020_1.data,57,optimal,0.04
j3020_10.data,37,optimal,0.04
j3020_2.data,70,optimal,0.05
j3020_3.data,49,optimal,0.04
j3020_4.data,43,optimal,0.05
j3020_5.data,61,optimal,0.04
j3020_6.data,51,optimal,0.04
j3020_7.data,42,optimal,0.04
j3020_8.data,51,optimal,0.05
j3020_9.data,41,optimal,0.04
j3021_1.data,84,optimal,0.29
j3021_10.data,69,optimal,0.11
j3021_2.data,59,optimal,0.29
j3021_3.data,76,optimal,0.15
j3021_4.data,70,optimal,0.24
j3021_5.data,55,optimal,0.09
j3021_6.data,76,optimal,0.32
j3021_7.data,65,optimal,0.19
j3021_8.data,62,optimal,0.12
j3021_9.data,69,optimal,0.42
j3022_1.data,42,optimal,0.03
j3022_10.data,55,optimal,0.03
j3022_2.data,45,optimal,0.04
j3022_3.data,63,optimal,0.05
j3022_4.data,42,optimal,0.04
j3022_5.data,52,optimal,0.05
j3022_6.data,52,optimal,0.04
j3022_7.data,60,optimal,0.14
j3022_8.data,55,optimal,0.16
j3022_9.data,76,optimal,0.04
j3023_1.data,63,optimal,0.04
j3023_10.data,61,optimal,0.04
j3023_2.data,53,optimal,0.05
j3023_3.data,46,optimal,0.05
j3023_4.data,65,optimal,0.05
j3023_5.data,52,optimal,0.04
j3023_6.data,48,optimal,0.05
j3023_7.data,60,optimal,0.05
j3023_8.data,48,optimal,0.05
j3023_9.data,63,optimal,0.05
j3024_1.data,53,optimal,0.04
j3024_10.data,53,optimal,0.04
j3024_2.data,58,optimal,0.04
j3024_3.data,69,optimal,0.04
j3024_4.data,53,optimal,0.04
j3024_5.data,51,optimal,0.04
j3024_6.data,56,optimal,0.04
j3024_7.data,44,optimal,0.05
j3024_8.data,38,optimal,0.04
j3024_9.data,43,optimal,0.04
j3025_1.data,93,optimal,2.86
j3025_10.data,58,optimal,0.47
j3025_2.data,75,optimal,2.43
j3025_3.data,N/A,unknown,3.80
j3025_4.data,N/A,unknown,3.77
j3025_5.data,72,optimal,1.96
j3025_6.data,58,optimal,2.40
j3025_7.data,95,optimal,1.51
j3025_8.data,69,optimal,2.50
j3025_9.data,84,optimal,1.75
j3026_1.data,59,optimal,0.04
j3026_10.data,49,optimal,0.04
j3026_2.data,40,optimal,0.05
j3026_3.data,58,optimal,0.06
j3026_4.data,62,optimal,0.05
j3026_5.data,74,optimal,0.05
j3026_6.data,53,optimal,0.05
j3026_7.data,56,optimal,0.05
j3026_8.data,66,optimal,0.05
j3026_9.data,43,optimal,0.05
j3027_1.data,43,optimal,0.04
j3027_10.data,62,optimal,0.05
j3027_2.data,58,optimal,0.05
j3027_3.data,60,optimal,0.04
j3027_4.data,64,optimal,0.05
j3027_5.data,49,optimal,0.05
j3027_6.data,59,optimal,0.04
j3027_7.data,49,optimal,0.05
j3027_8.data,66,optimal,0.06
j3027_9.data,55,optimal,0.04
j3028_1.data,69,optimal,0.05
j3028_10.data,59,optimal,0.05
j3028_2.data,57,optimal,0.04
j3028_3.data,40,optimal,0.05
j3028_4.data,49,optimal,0.05
j3028_5.data,73,optimal,0.04
j3028_6.data,55,optimal,0.05
j3028_7.data,48,optimal,0.04
j3028_8.data,53,optimal,0.05
j3028_9.data,62,optimal,0.04
j3029_1.data,85,feasible,3.70
j3029_10.data,76,optimal,1.06
j3029_2.data,90,optimal,4.01
j3029_3.data,78,feasible,6.71
j3029_4.data,N/A,unknown,3.81
j3029_5.data,98,optimal,3.53
j3029_6.data,92,feasible,4.64
j3029_7.data,73,optimal,4.29
j3029_8.data,N/A,unknown,5.23
j3029_9.data,N/A,unknown,3.70
j302_1.data,38,optimal,0.04
j302_10.data,43,optimal,0.05
j302_2.data,51,optimal,0.05
j302_3.data,43,optimal,0.04
j302_4.data,43,optimal,0.04
j302_5.data,51,optimal,0.04
j302_6.data,47,optimal,0.04
j302_7.data,47,optimal,0.05
j302_8.data,54,optimal,0.04
j302_9.data,54,optimal,0.04
j3030_1.data,47,optimal,0.69
j3030_10.data,53,optimal,0.71
j3030_2.data,68,optimal,0.43
j3030_3.data,55,optimal,0.29
j3030_4.data,53,optimal,0.07
j3030_5.data,54,optimal,0.04
j3030_6.data,62,optimal,1.00
j3030_7.data,68,optimal,0.07
j3030_8.data,46,optimal,0.04
j3030_9.data,46,optimal,0.17
j3031_1.data,43,optimal,0.04
j3031_10.data,55,optimal,0.14
j3031_2.data,63,optimal,0.05
j3031_3.data,58,optimal,0.05
j3031_4.data,50,optimal,0.06
j3031_5.data,52,optimal,0.05
j3031_6.data,53,optimal,0.05
j3031_7.data,61,optimal,0.04
j3031_8.data,58,optimal,0.05
j3031_9.data,50,optimal,0.16
j3032_1.data,61,optimal,0.04
j3032_10.data,51,optimal,0.07
j3032_2.data,60,optimal,0.05
j3032_3.data,57,optimal,0.05
j3032_4.data,68,optimal,0.04
j3032_5.data,54,optimal,0.05
j3032_6.data,44,optimal,0.05
j3032_7.data,35,optimal,0.04
j3032_8.data,54,optimal,0.04
j3032_9.data,65,optimal,0.07
j3033_1.data,65,optimal,0.04
j3033_10.data,53,optimal,0.04
j3033_2.data,60,optimal,0.05
j3033_3.data,55,optimal,0.04
j3033_4.data,77,optimal,0.04
