file name,Model constraint,Status,Solve time (second)
j6026_5.data,61,optimal,0.04
j6026_6.data,74,optimal,0.80
j6026_7.data,72,optimal,0.04
j6026_8.data,89,optimal,0.04
j6026_9.data,65,optimal,2.87
j6027_1.data,96,optimal,0.04
j6027_10.data,57,optimal,0.04
j6027_2.data,74,optimal,0.04
j6027_3.data,76,optimal,0.04
j6027_4.data,60,optimal,0.04
j6027_5.data,78,optimal,0.04
j6027_6.data,64,optimal,0.04
j6027_7.data,83,optimal,0.04
j6027_8.data,88,optimal,0.04
j6027_9.data,76,optimal,0.04
j6028_1.data,92,optimal,0.04
j6028_10.data,74,optimal,0.04
j6028_2.data,64,optimal,0.04
j6028_3.data,72,optimal,0.04
j6028_4.data,84,optimal,0.04
j6028_5.data,71,optimal,0.04
j6028_6.data,89,optimal,0.04
j6028_7.data,75,optimal,0.04
j6028_8.data,62,optimal,0.04
j6028_9.data,74,optimal,0.04
j6029_1.data,N/A,unknown,22.12
j6029_10.data,N/A,unknown,900.03
j6029_2.data,N/A,unknown,900.04
j6029_3.data,N/A,unknown,900.04
j6029_4.data,N/A,unknown,900.04
j6029_5.data,N/A,unknown,900.05
j6029_6.data,N/A,unknown,900.04
j6029_7.data,N/A,unknown,21.82
j6029_8.data,N/A,unknown,26.99
j6029_9.data,N/A,unknown,900.03
j602_1.data,65,optimal,0.04
j602_10.data,69,optimal,0.04
j602_2.data,82,optimal,0.04
j602_3.data,78,optimal,0.04
j602_4.data,78,optimal,0.04
j602_5.data,54,optimal,0.04
j602_6.data,64,optimal,0.04
j602_7.data,53,optimal,0.04
j602_8.data,66,optimal,0.04
j602_9.data,65,optimal,0.04
j6030_1.data,70,optimal,0.06
j6030_10.data,86,optimal,162.90
j6030_2.data,70,feasible,900.04
j6030_3.data,82,optimal,0.24
j6030_4.data,76,optimal,0.05
j6030_5.data,76,optimal,299.66
j6030_6.data,68,optimal,0.04
j6030_7.data,86,optimal,272.46
j6030_8.data,63,optimal,0.05
j6030_9.data,98,optimal,0.05
j6031_1.data,65,optimal,0.05
j6031_10.data,56,optimal,0.05
j6031_2.data,74,optimal,0.05
j6031_3.data,66,optimal,0.05
j6031_4.data,68,optimal,0.04
j6031_5.data,72,optimal,0.05
j6031_6.data,72,optimal,0.05
j6031_7.data,76,optimal,0.09
j6031_8.data,75,optimal,0.05
j6031_9.data,86,optimal,0.05
j6032_1.data,69,optimal,0.05
j6032_10.data,77,optimal,0.04
j6032_2.data,114,optimal,0.05
j6032_3.data,85,optimal,0.04
j6032_4.data,56,optimal,0.05
j6032_5.data,77,optimal,0.05
j6032_6.data,93,optimal,0.05
j6032_7.data,76,optimal,0.06
j6032_8.data,76,optimal,0.05
j6032_9.data,74,optimal,0.05
j6033_1.data,105,optimal,0.12
j6033_10.data,84,optimal,0.18
j6033_2.data,100,optimal,0.04
j6033_3.data,79,optimal,0.04
j6033_4.data,81,optimal,0.04
j6033_5.data,108,optimal,0.14
j6033_6.data,75,optimal,0.62
j6033_7.data,78,optimal,0.11
j6033_8.data,79,optimal,0.04
j6033_9.data,108,optimal,0.05
j6034_1.data,72,optimal,0.06
j6034_10.data,92,optimal,0.04
j6034_2.data,68,optimal,0.04
j6034_3.data,61,optimal,0.04
j6034_4.data,83,optimal,0.04
j6034_5.data,80,optimal,0.04
j6034_6.data,81,optimal,0.04
j6034_7.data,85,optimal,0.04
j6034_8.data,63,optimal,0.04
j6034_9.data,77,optimal,0.04
j6035_1.data,78,optimal,0.04
j6035_10.data,71,optimal,0.04
j6035_2.data,77,optimal,0.04
j6035_3.data,89,optimal,0.04
j6035_4.data,72,optimal,0.04
j6035_5.data,76,optimal,0.04
j6035_6.data,79,optimal,0.04
j6035_7.data,73,optimal,0.04
j6035_8.data,78,optimal,0.04
j6035_9.data,76,optimal,0.04
j6036_1.data,61,optimal,0.04
j6036_10.data,77,optimal,0.04
j6036_2.data,75,optimal,0.04
j6036_3.data,81,optimal,0.04
j6036_4.data,85,optimal,0.04
j6036_5.data,57,optimal,0.04
