file name,Model constraint,Status,Solve time (second)
j6010_1.data,85,optimal_proven,0.03
j6010_10.data,73,optimal_proven,0.02
j6010_2.data,62,optimal_proven,0.02
j6010_3.data,72,optimal_proven,0.02
j6010_4.data,80,optimal_proven,0.02
j6010_5.data,79,optimal_proven,0.03
j6010_6.data,67,optimal_proven,0.03
j6010_7.data,69,optimal_proven,0.03
j6010_8.data,65,optimal_proven,0.02
j6010_9.data,73,optimal_proven,0.02
j6011_1.data,71,optimal_proven,0.03
j6011_10.data,58,optimal_proven,0.02
j6011_2.data,61,optimal_proven,0.02
j6011_3.data,76,optimal_proven,0.02
j6011_4.data,69,optimal_proven,0.02
j6011_5.data,65,optimal_proven,0.02
j6011_6.data,70,optimal_proven,0.02
j6011_7.data,70,optimal_proven,0.02
j6011_8.data,69,optimal_proven,0.02
j6011_9.data,62,optimal_proven,0.02
j6012_1.data,59,optimal_proven,0.02
j6012_10.data,79,optimal_proven,0.03
j6012_2.data,58,optimal_proven,0.02
j6012_3.data,75,optimal_proven,0.02
j6012_4.data,69,optimal_proven,0.02
j6012_5.data,63,optimal_proven,0.02
j6012_6.data,54,optimal_proven,0.02
j6012_7.data,71,optimal_proven,0.02
j6012_8.data,60,optimal_proven,0.02
j6012_9.data,59,optimal_proven,0.02
