file name,Model constraint,Status,Solve time (second)
j9010_1.data,77,optimal,0.06
j9010_10.data,75,optimal,0.05
j9010_2.data,95,optimal,0.06
j9010_3.data,112,optimal,0.05
j9010_4.data,94,optimal,0.04
j9010_5.data,78,optimal,0.05
j9010_6.data,92,optimal,0.05
j9010_7.data,83,optimal,0.05
j9010_8.data,81,optimal,0.05
j9010_9.data,88,optimal,0.05
j9011_1.data,86,optimal,0.06
j9011_10.data,81,optimal,0.06
j9011_2.data,99,optimal,0.05
j9011_3.data,69,optimal,0.06
j9011_4.data,64,optimal,0.05
j9011_5.data,81,optimal,0.05
j9011_6.data,78,optimal,0.09
j9011_7.data,95,optimal,0.05
j9011_8.data,82,optimal,0.05
j9011_9.data,81,optimal,0.05
j9012_1.data,71,optimal,0.05
j9012_10.data,86,optimal,0.05
j9012_2.data,71,optimal,0.06
j9012_3.data,93,optimal,0.06
j9012_4.data,73,optimal,0.05
j9012_5.data,83,optimal,0.06
j9012_6.data,81,optimal,0.06
j9012_7.data,77,optimal,0.05
j9012_8.data,83,optimal,0.05
j9012_9.data,77,optimal,0.05
j9013_1.data,N/A,unknown,5.62
j9013_10.data,N/A,unknown,7.13
j9013_2.data,N/A,unknown,9.08
j9013_3.data,N/A,unknown,8.15
j9013_4.data,N/A,unknown,0.63
j9013_5.data,N/A,unknown,10.03
j9013_6.data,N/A,unknown,9.63
j9013_7.data,N/A,unknown,10.66
j9013_8.data,N/A,unknown,7.67
j9013_9.data,N/A,unknown,8.46
j9014_1.data,89,optimal,0.08
j9014_10.data,85,optimal,0.07
j9014_2.data,79,optimal,0.07
j9014_3.data,94,optimal,0.07
j9014_4.data,88,optimal,0.06
j9014_5.data,84,optimal,0.06
j9014_6.data,N/A,unknown,5.84
j9014_7.data,86,optimal,0.07
j9014_8.data,80,optimal,0.07
j9014_9.data,112,optimal,0.06
j9015_1.data,76,optimal,0.06
j9015_10.data,78,optimal,0.07
j9015_2.data,71,optimal,0.06
j9015_3.data,82,optimal,0.07
j9015_4.data,92,optimal,0.07
j9015_5.data,93,optimal,0.07
j9015_6.data,61,optimal,0.06
j9015_7.data,82,optimal,0.07
j9015_8.data,82,optimal,0.07
j9015_9.data,83,optimal,0.06
j9016_1.data,85,optimal,0.06
j9016_10.data,71,optimal,0.06
j9016_2.data,71,optimal,0.06
j9016_3.data,73,optimal,0.06
j9016_4.data,69,optimal,0.06
j9016_5.data,71,optimal,0.06
j9016_6.data,74,optimal,0.06
j9016_7.data,65,optimal,0.06
j9016_8.data,71,optimal,0.06
j9016_9.data,66,optimal,0.06
j9017_1.data,92,optimal,0.80
j9017_10.data,89,optimal,0.73
j9017_2.data,100,optimal,1.06
j9017_3.data,89,optimal,0.06
j9017_4.data,94,optimal,0.05
j9017_5.data,113,optimal,0.06
j9017_6.data,94,optimal,0.07
j9017_7.data,80,optimal,0.05
j9017_8.data,113,optimal,0.76
j9017_9.data,96,optimal,0.86
j9018_1.data,101,optimal,0.06
j9018_10.data,94,optimal,0.05
j9018_2.data,94,optimal,0.05
j9018_3.data,83,optimal,0.05
j9018_4.data,98,optimal,0.05
j9018_5.data,90,optimal,0.05
j9018_6.data,83,optimal,0.05
j9018_7.data,73,optimal,0.05
j9018_8.data,92,optimal,0.06
j9018_9.data,79,optimal,0.06
j9019_1.data,98,optimal,0.05
j9019_10.data,85,optimal,0.06
j9019_2.data,83,optimal,0.05
j9019_3.data,89,optimal,0.05
j9019_4.data,77,optimal,0.05
j9019_5.data,66,optimal,0.05
j9019_6.data,136,optimal,0.05
j9019_7.data,66,optimal,0.05
j9019_8.data,91,optimal,0.05
